Άγγελος Μωρός
Άνθιμος Αγαλιώτης
Άννα Δημητρίου
Άννα Τσουράκη
Άρης-Αλέξιος Ρίσβας
Άριστος Αγγελίκας
Άριστος Μακρυκώστας
Άριστος Πατελής
Άρτεμις Κυριακοπούλου
Άρτεμις Μπραέσα
Άρτεμις Φασουλίδου
Έκτορας Γκούβελος
Έκτορας Ορφανάκης
Έκτορας Φωτόπουλος
Έκτορας-Ηλίας Κατσίπης
Έλλη Βαΐου
Έλλη Κυρκούδη
Έλλη Περουλάκη
Έλλη Χρυσάφη
Έξαρχος Αντωνέας
Έξαρχος Κατσαντώνης
Έξαρχος Κιοσές
Έξαρχος Τζιάρας
Έξαρχος Φραγκόπουλος
Ήβη Πετσιά
Ήλια Διαμαντοπούλου
Ήλια Νικολάου
Ήρα Καρακωνσταντινού
Ήρα Τσουράκη
Ήρα Χαλαντζούκα
Ίκαρος Ζαραφέτας
Ίκαρος Κατσαβός
Ίκαρος Μαγκούφης
Ίκαρος Σικαλίδης
Ίρις Μασίκα
Ίρις Μπαρκούτα
Ίρις Ποταμιάνου
Ίρις-Ευστρατία Πολατίδου
Ίρις-Φιλίππα Μπλιατσίου
Ίων Καπατσώρης
Όθων Κιουπλιώτης
Όλγα Γιαννακουδάκη
Όλγα Κυριαννάκη
Όλγα Σκαβέντζου
Όμηρος Βολικάκης
Όμηρος Ντουλιάς
Όμηρος Παπουδής
Όμηρος Τσαγκρασούλης
Όμηρος-Ζαφείρης Γαρουφαλής
Αίας-Δίκαιος Τσέλλος
Αβραάμ Ανδρουλάκης
Αβραάμ Κατιρτζής
Αβραάμ Σεβδάς
Αβραάμ Τζιάρας
Αγάθη Ζαφείρη
Αγάπη-Σαββούλα Φιδάνη
Αγάπιος Κεσεμίδης
Αγαθάγγελος Κυπριώτης
Αγαθάγγελος Μιχαλέλλης
Αγαθή Καμπούρη
Αγαθή Μεξή
Αγαθοκλής Τυράλης
Αγαθοκλής-Χαράλαμπος Ζουλούμης
Αγαθόνικος Αποστολίδης
Αγαθόνικος Χιτός
Αγαμέμνων Αρχαυλής
Αγαμέμνων Βαμβακάς
Αγαμέμνων Μαστρογιώργης
Αγαπητός Μπαλουκίδης
Αγαπητός-Όθων Χουλιάρας
Αγγελής Λώλος
Αγγελής Πέππας
Αγγελής Περδικάκης
Αγγελής Περιστερόπουλος
Αγγελής Σαμανίδης
Αγγελής Χαρισιάδης
Αγγελής-Βαρσάμος Κολχούρης
Αγγελική Μπατζάνη
Αγγελική-Βικτωρία Κανελή
Αγγελική-Εύα Καπνιά
Αγγελική-Χάιδω Σδούκου
Αγησίλαος Ματσούκας
