Adolf Lindforsin bulevardi 3
Adolf Lindforsin katu 61
Adolf Lindforsin kuja 18
Adolf Lindforsin kuja 566
Adolf Lindforsin kuja 886
Adolf Lindforsin polku 0
Adolf Lindforsin polku 83
Agnes Sjöbergin bulevardi 1
Agnes Sjöbergin bulevardi 498
Agnes Sjöbergin bulevardi 76
Agnes Sjöbergin bulevardi 8
Agnes Sjöbergin bulevardi 9
Agnes Sjöbergin kuja 219
Agnes Sjöbergin kuja 528
Agnes Sjöbergin polku 3
Agnes Sjöbergin polku 9
Agnes Sjöbergin tie 22
Agnes Sjöbergin tie 46
Agnes Sjöbergin tie 81
Agnetanbulevardi 264
Agnetankatu 56
Agnetankuja 8
Agnetanpolku 3
Agnetantie 40
Agricolanbulevardi 72
Agricolankatu 28
Agricolankatu 338
Agricolankatu 5
Agricolankatu 54
Agricolankatu 603
Agricolankatu 89
Agricolankuja 152
Agricolankuja 5
Agricolankuja 7
Agricolanpolku 07
Agricolanpolku 3
Agricolanpolku 5
Agricolanpolku 59
Agricolantie 1
Agricolantie 168
Agricolantie 65
Agroksenbulevardi 12
Agroksenbulevardi 22
Agroksenbulevardi 7
Agroksenbulevardi 82
Agroksenbulevardi 859
Agroksenbulevardi 9
Agroksenkatu 448
Agroksenkatu 749
Agroksenkuja 6
Agroksenkuja 724
Agroksenpolku 38
Agroksenpolku 57
Agroksenpolku 7
Agroksenpolku 97
Agroksentie 28
Agroksentie 503
Agronominbulevardi 9
Agronominkatu 816
Agronominkuja 053
Agronominkuja 2
Agronominkuja 6
Agronominkuja 9
Agronominpolku 1
Agronominpolku 367
Agronominpolku 4
Agronomintie 0
Agronomintie 57
Agronomintie 7
Ahdekaunokinbulevardi 191
Ahdekaunokinbulevardi 75
Ahdekaunokinkuja 822
Ahdekaunokinpolku 17
Ahomäenbulevardi 32
Ahomäenkatu 4
Ahomäenkatu 520
Ahomäenkatu 524
Ahomäenkatu 7
Ahomäenkuja 11
Ahomäenkuja 477
Ahomäenpolku 1
Ahomäenpolku 594
Ahomäentie 206
Ahomäentie 69
Ahomäentie 931
Ahvenkoskenbulevardi 8
Ahvenkoskenkatu 97
Ahvenkoskenkuja 5
Ahvenkoskenkuja 9
Ahvenkoskenpolku 09
Ahvenkoskenpolku 1
Ahvenkoskenpolku 103
Ahvenkoskenpolku 630
Ahvenkoskentie 703
Ahvenkoskentie 8
Aidasmäenbulevardi 646
Aidasmäenkatu 0
Aidasmäenkatu 4
Aidasmäenkatu 81
Aidasmäenkuja 6
Aidasmäenkuja 958
Aidasmäenpolku 497
Aidasmäentie 21
Aidasmäentie 514
Aidasmäentie 9
Bengalinbulevardi 060
Bengalinbulevardi 29
Bengalinbulevardi 749
Bengalinkuja 9
Bengalinkuja 90
Bengalinpolku 104
Bengalinpolku 606
Bengalintie 0
Bengalintie 716
Bengalintie 76
Benktanbulevardi 365
Benktanbulevardi 98
Benktankatu 28
Benktankatu 857
Benktankuja 65
Benktanpolku 0
Benktanpolku 569
Benktanpolku 8
Benktantie 435
Benktantie 6
Bergankatu 40
Bergankatu 47
Bergankuja 13
Berganpolku 12
Berganpolku 14
Berganpolku 212
Berganpolku 427
Bergantie 71
Bertel Jungin kuja 3
Bertel Jungin polku 4
Bertel Jungin polku 573
Bertel Jungin polku 603
Bertel Jungin tie 983
Bertha Pauligin katu 0
Bertha Pauligin kuja 168
Bertha Pauligin kuja 97
Bertha Pauligin tie 2
Betleheminbulevardi 043
Betleheminbulevardi 48
Betleheminbulevardi 78
Betleheminkatu 5
Betleheminkatu 54
Betleheminkuja 03
Betleheminkuja 40
Betleheminpolku 45
Betleheminpolku 930
Betonibulevardi 12
Betonikatu 848
Betonikuja 3
Betonikuja 631
Betonikuja 666
Betonipolku 46
Betonipolku 636
Biologinbulevardi 138
Biologinkatu 579
Biologinkuja 58
Biologinkuja 731
Biologinpolku 71
Biologinpolku 729
Biologintie 1
Biologintie 76
Birger Kaipiaisen bulevardi 148
Birger Kaipiaisen bulevardi 476
Birger Kaipiaisen bulevardi 887
Birger Kaipiaisen katu 287
Birger Kaipiaisen kuja 4
Birger Kaipiaisen polku 07
Birger Kaipiaisen polku 386
Birger Kaipiaisen polku 88
Birger Kaipiaisen polku 9
Birger Kaipiaisen tie 13
Bysantinbulevardi 705
Bysantinbulevardi 96
Bysantinkatu 75
Bysantinkatu 81
Bysantinkuja 0
Bysantinkuja 19
Bysantinkuja 27
Bysantintie 25
Bysantintie 49
Bysantintie 57
Bysantintie 7
Böstaksenbulevardi 068
Böstaksenbulevardi 214
Böstaksenbulevardi 3
Böstaksenkatu 376
Böstaksenkuja 32
Böstaksenkuja 987
Böstaksenpolku 0
Böstaksenpolku 064
Böstaksenpolku 374
Böstaksentie 68
Böstaksentie 914
Caloniuksenbulevardi 150
Caloniuksenbulevardi 2
Caloniuksenbulevardi 262
Caloniuksenkatu 09
Caloniuksenkatu 4
Caloniuksenkatu 5
Caloniuksenkuja 376
Caloniuksenpolku 244
Caloniuksenpolku 5
Caloniuksenpolku 7
Caloniuksenpolku 778
Caloniuksenpolku 98
Caloniuksentie 16
Capellan puistokatu 2
Capellan puistokatu 227
Capellan puistokatu 3
Capellan puistokatu 9
Capellan puistokuja 10
Capellan puistokuja 85
Capellan puistotie 47
Capellan puistotie 62
Castréninbulevardi 716
Castréninkatu 2
Castréninkuja 42
Castréninkuja 941
Castréninpolku 1
Castréninpolku 6
Castréninpolku 689
Castrénintie 083
Castrénintie 13
Castrénintie 63
Castrénintie 786
Chydeniuksenbulevardi 43
Chydeniuksenkuja 95
Chydeniuksenpolku 307
Chydeniuksentie 0
Cygnaeuksenbulevardi 43
Cygnaeuksenbulevardi 8
Cygnaeuksenbulevardi 88
Cygnaeuksenkatu 00
Cygnaeuksenkatu 200
Cygnaeuksenkatu 5
Cygnaeuksenkatu 9
Cygnaeuksenkuja 1
Cygnaeuksenkuja 557
Cygnaeuksenpolku 02
Cygnaeuksenpolku 2
Cygnaeuksenpolku 65
Cygnaeuksentie 1
Dagmarinbulevardi 28
Dagmarinbulevardi 4
Dagmarinbulevardi 6
Dagmarinbulevardi 602
Dagmarinbulevardi 8
Dagmarinkatu 62
Dagmarinkatu 768
Dagmarinkuja 169
Dagmarinkuja 3
Dagmarinkuja 5
Dagmarinkuja 50
Dagmarinkuja 82
Dagmarinpolku 508
Dagmarinpolku 84
Damaskuksenkatu 630
Damaskuksenkatu 8
Damaskuksenkuja 4
Damaskuksenkuja 57
Damaskuksenpolku 8
Damaskuksentie 066
Degermosankatu 1
Degermosankatu 30
Degermosankuja 27
Degermosankuja 47
Degermosanpolku 07
Degermosantie 36
Degermosantie 38
Disanbulevardi 1
Disanbulevardi 7
Disankuja 29
Disankuja 58
Disankuja 9
Disantie 0
Dosentinbulevardi 38
Dosentinbulevardi 5
Dosentinkatu 02
Dosentinkatu 810
Dosentinkatu 833
Dosentinkuja 059
Dosentinkuja 1
Dosentinpolku 13
Dosentinpolku 4
Dosentinpolku 5
Dosentinpolku 6
Dosentinpolku 734
Dosentinpolku 8
Dosentintie 7
Dunckerinbulevardi 0
Dunckerinkatu 519
Dunckerinkuja 3
Dunckerinkuja 661
Dunckerinpolku 91
Dunckerintie 039
Dunckerintie 29
Döbelninbulevardi 0
Döbelninbulevardi 03
Döbelninbulevardi 2
Döbelninbulevardi 393
Döbelninbulevardi 84
Döbelninkatu 5
Döbelninkatu 7
Döbelninkuja 0
Döbelninkuja 2
Döbelninkuja 8
Döbelninpolku 014
