Borgo Adelasia, 6 Piano 0
Borgo Agostino, 86 Piano 4
Borgo Albertini, 467 Piano 3
Borgo Alfonsi, 144 Piano 2
Borgo Alfredo, 896 Appartamento 36
Borgo Amalia, 17
Borgo Amanda, 7 Piano 7
Borgo Amato, 911
Borgo Angelo, 83 Piano 0
Borgo Annamaria, 48 Piano 4
Borgo Antonia, 41
Borgo Antonietta, 9
Borgo Arturo, 20 Appartamento 8
Borgo Asmundo, 11
Borgo Augusto, 80 Piano 0
Borgo Baldassare, 979 Piano 5
Borgo Barillaro, 923 Piano 4
Borgo Bernetti, 563 Appartamento 89
Borgo Biagio, 4 Piano 2
Borgo Biagiotti, 97 Appartamento 81
Borgo Bianca, 43 Appartamento 27
Borgo Bianchini, 39
Borgo Borsellino, 89
Borgo Bragaglia, 47 Appartamento 5
Borgo Brunello, 8
Borgo Camilla, 32
Borgo Camilleri, 182 Piano 3
Borgo Casagrande, 61 Piano 5
Borgo Casalodi, 0 Appartamento 3
Borgo Cecilia, 70 Piano 4
Borgo Cheda, 25
Borgo Chiesa, 6
Borgo Cicala, 43 Piano 5
Borgo Cilibrasi, 689
Borgo Cirillo, 70
Borgo Civaschi, 5 Appartamento 2
Borgo Comencini, 861
Borgo Concetta, 7 Appartamento 3
Borgo Corcos, 5
Borgo Costantino, 182
Borgo Curci, 435
Borgo Dalla, 56 Piano 8
Borgo Eleanora, 6 Appartamento 0
Borgo Eliana, 98
Borgo Elisa, 81 Piano 1
Borgo Elmo, 731
Borgo Elvira, 926
Borgo Errigo, 894
Borgo Evangelista, 36
Borgo Fabbri, 80
Borgo Faggiani, 515
Borgo Fantini, 512
Borgo Fantoni, 69
Borgo Fantozzi, 39
Borgo Favata, 65
Borgo Fedele, 6 Appartamento 26
Borgo Federica, 59
Borgo Ferdinando, 17 Piano 5
Borgo Fiamma, 382 Appartamento 3
Borgo Filippini, 8
Borgo Flavia, 321
Borgo Florio, 52 Piano 4
Borgo Francesco, 334 Piano 8
Borgo Francesco, 517
Borgo Francesco, 62 Piano 1
Borgo Gabriella, 62 Appartamento 41
Borgo Galuppi, 82
Borgo Gastone, 95 Appartamento 3
Borgo Giada, 35
Borgo Gianluca, 25
Borgo Gianpietro, 79 Piano 0
Borgo Gianvecchio, 14
Borgo Ginesio, 0 Piano 7
Borgo Gioberti, 336 Piano 6
Borgo Gioffre, 36 Appartamento 4
Borgo Giorgia, 693 Piano 3
Borgo Giulietta, 4 Piano 4
Borgo Giulio, 7
Borgo Gozzi, 65 Appartamento 1
Borgo Greco, 0 Appartamento 38
Borgo Greco, 22 Piano 0
Borgo Guarino, 32
Borgo Guarino, 4 Piano 6
Borgo Guarneri, 5 Piano 6
Borgo Iacobucci, 92 Appartamento 4
Borgo Ignazio, 76 Appartamento 94
Borgo Infantino, 19 Piano 7
Borgo Isa, 3 Piano 0
Borgo Isa, 34
Borgo Jacopo, 536
Borgo Jolanda, 9 Piano 6
Borgo Lamberto, 2 Appartamento 90
Borgo Lanfranchi, 153
Borgo Lanfranchi, 9
Borgo Laureano, 166
Borgo Lauretta, 1 Piano 9
Borgo Liana, 2 Piano 3
Borgo Ligorio, 1 Piano 1
Borgo Lisa, 91
Borgo Loretta, 0
Borgo Loretta, 78 Piano 5
Borgo Luchino, 936
Borgo Lucio, 47
Borgo Lucrezia, 46
Borgo Malatesta, 624 Appartamento 3
Borgo Mancini, 185 Appartamento 34
Borgo Mantegna, 1
Borgo Marangoni, 57 Piano 5
Borgo Margherita, 99 Piano 0
Borgo Maria, 11
Borgo Maria, 767
Borgo Martino, 56
Borgo Matteotti, 26
Borgo Maurilio, 79 Piano 3
Borgo Melania, 98 Appartamento 16
Borgo Melina, 6
Borgo Mercantini, 864
Borgo Meucci, 224 Appartamento 9
Borgo Milena, 7
Borgo Mirko, 221
Borgo Monica, 34 Piano 6
Borgo Niccolò, 45
Borgo Nicoletti, 99 Appartamento 53
Borgo Nino, 213 Appartamento 19
Borgo Orlando, 961
Borgo Paganini, 2 Piano 1
Borgo Palombi, 81 Piano 0
Borgo Paride, 9
Borgo Parpinel, 59 Appartamento 42
Borgo Pasquale, 685
Borgo Patrizia, 71
Borgo Pedroni, 64
Borgo Perozzo, 956 Appartamento 88
Borgo Peruzzi, 48 Appartamento 9
Borgo Piergiorgio, 71 Appartamento 6
Borgo Pierina, 52 Piano 1
Borgo Pina, 984
Borgo Pininfarina, 7
Borgo Pistoletto, 3 Piano 1
Borgo Pompeo, 2
Borgo Pomponio, 312
Borgo Prati, 35 Appartamento 4
Borgo Priscilla, 7 Appartamento 2
Borgo Raffaello, 78
Borgo Raimondo, 83 Appartamento 54
Borgo Riccardi, 0 Piano 1
