Abdullah-Rörricht-Platz 261
Abraham-Weihmann-Ring 9
Ackermannallee 8-6
Ackermannstraße 0
Ackermannstraße 85
Ackermannweg 94-94
Adelbert-Losekann-Weg 827
Adele-Dehmel-Weg 936
Adelgunde-Bloch-Ring 1-6
Adelgunde-Gotthard-Weg 5/3
Adelgunde-Hornig-Ring 95/50
Adina-Karge-Straße 26
Adlergasse 0
Adlerring 69
Adolf-Pärtzelt-Straße 71
Adolfine-Mielcarek-Gasse 9-5
Adolphweg 52
Adrian-Albers-Straße 48/22
Adriana-Matthäi-Ring 8
Adriana-Patberg-Ring 5-3
Adriane-Roskoth-Gasse 9
Agathe-Hänel-Gasse 9-4
Ahmad-Grein Groth-Weg 47/16
Alan-Patberg-Weg 32-24
Alban-Hahn-Platz 4-1
Albersplatz 7058
Alberto-Holzapfel-Straße 50-56
Albrecht-Geißler-Ring 933
Aleksandar-Otto-Gasse 26/87
Aleksej-Gertz-Platz 61-78
Alena-Schinke-Ring 7/4
Alessandro-Seidel-Weg 6632
Alexei-Budig-Straße 93
Alexei-Mies-Straße 6/5
Alexej-Neuschäfer-Weg 3737
Alf-Hiller-Weg 714
Alf-Stoll-Ring 88/38
Alfonso-Ditschlerin-Weg 3-1
Alfredo-Dowerg-Gasse 3513
Alma-Nette-Weg 30-98
Aloisia-Schleich-Gasse 4271
Aloys-Jopich-Ring 64
Alwin-Wagner-Platz 16/69
Amalie-Mangold-Gasse 2/4
Amir-Austermühle-Ring 7/7
Amir-Bolnbach-Ring 80-86
Amir-Budig-Ring 2/3
Ana-Jockel-Allee 2-4
Anastasios-Niemeier-Ring 68/90
Anatolij-Vogt-Weg 98-62
Andersplatz 6
Andersstraße 37/49
Andersstraße 652
Andersweg 4-1
Andersweg 4642
Andre-Kroker-Weg 4-3
Andrea-Bien-Gasse 2-7
Andreas-Adolph-Straße 3315
Andreas-Säuberlich-Platz 617
Andrej-Junk-Ring 79-42
Andrej-Neuschäfer-Allee 85/32
Andrej-Stumpf-Platz 4-3
Andy-Faust-Gasse 95/78
Angela-Conradi-Gasse 34/32
Anita-Beckmann-Allee 98/75
Anka-Ackermann-Ring 1/9
Anke-Hofmann-Platz 8/8
Anna-Kabus-Straße 6/7
Anna-Lena-Fiebig-Ring 6/2
Anna-Maria-Schaaf-Allee 498
Anne-Kathrin-Eimer-Weg 43/51
Anne-Kathrin-Reising-Straße 20-67
Anne-Marie-Ackermann-Platz 9535
Anne-Marie-Jäntsch-Allee 69-85
Anneke-Bachmann-Straße 98/10
Anneliese-Flantz-Gasse 56
Anni-Jacob-Ring 771
Anny-Thanel-Gasse 2
Anselm-Rosemann-Platz 77/47
