Afghani
Albanische Lek
Algerische Dinar
Amerikanische Dollar
Angolanische Kwanza
Antillen Gulden
Arabische Dirham
Argentinische Peso
Armenische Dram
Aruba Florin
Aserbaidschanische Manat
Australische Dollar
Bahamas Dollar
Bahrainische Dinar
Bangladeschische Taka
Barbados Dollar
Belarussische Rubel
Belize Dollar
Bermudische Dollar
Bhutanisches Ngultrum
Boliviano
Botswanische Pula
Brasilianische Real
Brunei Dollar
Bulgarische Lew
Burmesische Kyat
Burundische Franc
Cap Verdische Escudo
Cayman Dollar
Chilenische Peso
Costa-Rica Colón
Cuba Peso Convertible
Dominikanische Peso
Dschibuti Franc
Dänische Krone
El-Salvador-Colón
Eritreische Nakfa
Euro
Falkländische Pfund
Fidschi Dollar
Gambische Dalasi
Georgische Lari
Ghanaische Cedi
Gibraltar Pfund
Guatemaltekischer Quetzal
Guernsey Pfund
Guinea Franc
Guyana Dollar
Haitianische Gourde
Honduranische Lempira
Hongkong Dollar
Indische Rupie
Indonesische Rupiah
Irakische Dinar
Iranische Rial
Isle-of-Man Pfund
Isländische Krone
Israelische Schekel
Jamaikanische Dollar
Japanische Yen
Jemenitische Rial
Jersey Pfund
Jordanische Dinar
Kambodschanische Riel
Kanadische Dollar
Kasachische Tenge
Kenianische Schilling
Kirgisische Som
Kolumbische Peso
Komorische Franc
Kongolesische Franc
Konvertible Mark
Kroatische Kuna
Kubanische Peso
Kuwaitische Dinar
Laotische Kip
Lesothische Loti
Libanesische Pfund
Liberianische Dollar
Libysche Dinar
Macau Pataca
Madagassische Ariary
Malawische Kwacha
Malaysische Ringgit
Maledivische Rufiyaa
Marokkanische Dirham
Mauretanische Ouguiya
Mauritius Rupie
Mazedonische Denar
Mexikanische Peso
Moldauische Leu
Mongolische Tögrög
Mosambikanische Metical
Namibische Dollar
Nepalesische Rupie
Neu Taiwanesische Dollar
Neuseeländische Dollar
Nicaraguanische Córdoba Oro
Nigerianische Naira
Nordkoreanische Won
Norwegische Krone
Omanische Rial
Ostkaribische Dollar
Pakistanische Rupie
Panamaische Balboa
Papua-neuguineische Kina
Paraguayische Guaraní
Pazifische Franc
Peruanische Sol
Philippinische Peso
Polnische Złoty
Qatar Riyal
Renminbi Yuán
Ruandische Franc
Rumänische Leu
Russische Rubel
Salomonische Dollar
Sambische Kwacha
Samoanische Tala
Saudische Riyal
Schwedische Krone
Schweizer Franken
Seborga Luigini
Serbische Dinar
Seychellen Rupie
Sierra-leonische Leone
Simbabwe Dollar
Singapur Dollar
Somalische Schilling
Sonderziehungsrecht
Sri Lanka Rupie
St.-Helena Pfund
Sterling Pfund
Sudanesische Pfund
Surinamische Dollar
Swazi Lilangeni
Syrische Pfund
São-toméische Dobra
Südafrikanische Rand
Südkoreanische Won
Tadschikische Somoni
Tansanische Schilling
Thailändische Baht
Tongaische Pa'anga
Trinidad und Tobago Dollar
Tschechische Krone
Tunesische Dinar
Turkmenische Manat
Tuvalu Dollar
Türkische Lira
Ugandische Schilling
Ukrainische Hrywnja
Ungarische Forint
Uruguayische Peso
Uzbekische So'm
Vanuatuische Vatu
Venezuelanische Bolívar
Vietnamesischer Dong
Westafrikanische CFA-Franc
Zentralafrikanische CFA-Franc
Ägyptische Pfund
Äthiopische Birr
