Abdul-Cichorius-Allee 87/26
Abraham-Hiller-Platz 89-63
Abram-Hartung-Ring 58/32
Ackermannweg 66-79
Adelbert-Flantz-Allee 99
Adele-Davids-Platz 3-3
Adele-Juncken-Weg 6/6
Adele-Pärtzelt-Ring 57/30
Adele-Wilms-Gasse 4/3
Adelheid-Schmidtke-Straße 9/8
Adem-Trommler-Straße 79/59
Adlerstr. 532
Adolfine-Atzler-Straße 5
Adolphallee 63
Adolphplatz 3279
Adrian-Heuser-Gasse 1940
Adriana-Hettner-Straße 41-80
Aenne-Grein Groth-Ring 1906
Agatha-Ebert-Allee 59-59
Agnes-Koch-Gasse 97/31
Agnieszka-Müller-Ring 51
Ahmed-Aumann-Ring 3-4
Alban-Kostolzin-Weg 337
Albersring 9-8
Albina-Weinhage-Allee 4288
Albrecht-Hoffmann-Ring 28
Aleksandar-Gröttner-Straße 8-7
Alessandro-Kostolzin-Platz 37
Alex-Pohl-Gasse 22-33
Alexander-Hauffer-Gasse 23/78
Alexander-Lorch-Ring 0
Alexandra-Hein-Ring 87
Alexandra-Ritter-Allee 13/73
Alexandre-Pölitz-Gasse 89
Alfons-Briemer-Gasse 45/35
Alfons-Huhn-Gasse 7-9
Alfonso-Bolander-Gasse 6902
Alicia-Rädel-Weg 22/66
Alina-Gnatz-Weg 9638
Aline-Bruder-Weg 7681
Alma-Gertz-Platz 4660
Almuth-Kroker-Platz 49/78
Alois-Hermann-Allee 2-6
Alwine-Kitzmann-Gasse 73
Amalia-Mosemann-Weg 58/94
Amanda-Fiebig-Straße 9
Amelie-Girschner-Gasse 93
Amir-Scheibe-Weg 54
Anastasia-Gröttner-Platz 391
Anastasia-Schweitzer-Gasse 9/8
Anastasios-Etzler-Allee 30/68
Anastasios-Mies-Ring 512
Anatoli-Schmidt-Allee 88-27
Andersgasse 128
Andersring 2-1
Andreas-Henschel-Allee 2-8
Andres-Tintzmann-Platz 9957
Aneta-Rosemann-Gasse 737
Anette-Stolze-Platz 91
Anika-Steinberg-Straße 2-1
Anja-Eigenwillig-Ring 875
Anka-Ehlert-Weg 6/3
Anka-Jacobi Jäckel-Straße 22
Anna-Dowerg-Allee 7-5
Anna-Luise-Heidrich-Allee 70
Anna-Luise-Wulf-Gasse 329
Anna-Marie-Huhn-Straße 18-88
Annamaria-Gieß-Allee 4
Anne-Ditschlerin-Allee 2-8
Anne-Kathrin-Gutknecht-Allee 2-6
Anne-Marie-Hölzenbecher-Allee 58
Annedore-Niemeier-Weg 45
Annegrete-Zänker-Straße 8-7
Annekatrin-Ullrich-Straße 7-1
Anneke-Trüb-Straße 49/77
Annelene-Bauer-Ring 68-21
Anneliese-Noack-Platz 23
Annelore-Schenk-Allee 9720
Annerose-Davids-Platz 72-28
Annett-Wagenknecht-Platz 50/97
Anny-Schomber-Gasse 7-6
Anselm-Bohlander-Allee 887
Anselm-Fliegner-Ring 8604
Anselm-Nerger-Platz 5203
Anselm-Sölzer-Gasse 4/7
Antoinette-Weimer-Platz 4-3
Anton-Nohlmans-Gasse 3/7
Anton-Schinke-Ring 6/3
Antonia-Girschner-Weg 5/6
Antonia-Reichmann-Gasse 9
Antonino-Neureuther-Ring 8555
Antonios-Segebahn-Allee 8591
Arif-Margraf-Allee 3
Armin-Peukert-Platz 8928
Arnd-Kraushaar-Weg 6-7
Arnim-Heydrich-Straße 35/62
Arnim-Krause-Gasse 88
Arnulf-Gunpf-Ring 62
Artur-Gierschner-Platz 38/43
Attila-Gehringer-Straße 1-9
Atzlerallee 9-7
Atzlerweg 352
August-Kitzmann-Allee 93-26
Augustin-Köhler-Allee 22-72
Aurelia-Meyer-Ring 34
Austermühleallee 21
Austermühlegasse 7/3
Austermühleplatz 66-94
Austermühlering 9-4
Austermühlestr. 5538
Austermühleweg 8/8
Axel-Gotthard-Platz 178
Aynur-Weinhold-Weg 87-19
Ayse-Jockel-Gasse 9-6
Aysel-Atzler-Platz 2/6
Aysel-Bloch-Allee 42/97
Ayten-Heuser-Allee 4/7
Babette-Finke-Straße 364
Babette-Gierschner-Allee 5/5
Barbara-Wende-Platz 9-9
Barkholzallee 8861
Barkholzgasse 69
Barkholzplatz 0
Barthallee 72/56
Barthstr. 30-82
Barthstr. 98/33
Bauerweg 21/21
Baumallee 80/94
Bayram-Martin-Straße 9-9
Bayram-Plath-Straße 65
Beckergasse 8771
Beckerplatz 1/6
Beckerring 80-25
Beckerweg 11
Beckmannring 4-6
Beckmannstr. 1159
Beckmannstr. 2/2
Beerplatz 8
Beerring 2
Beierallee 79
Beiergasse 914
Beierring 2-6
Beierring 3-8
Beierstr. 4-1
Beierweg 828
Bela-Gude-Straße 533
Benedikt-Weimer-Platz 62
Benjamin-Stolze-Weg 36/40
Bergerallee 605
Bernadette-Warmer-Platz 3532
Bernard-Röhricht-Platz 858
Bernard-Ullrich-Ring 4397
Bernhardine-Martin-Platz 1863
Bernhardine-Meister-Weg 5-4
