Άλλης Μεριάς 736, 65600 Ιωάννινα
Άμμου 198-056, 682 89 Ρόδος
Άργους 455, 13540 Ρόδος
Άσκρης 371-892, ΤΚ 065 60 Ιωάννινα
Άσου 29, 44383 Σάμος
Έμπωνα 3, 91844 Γρεβενά
Ήπιον 5, 71829 Κόρινθος
Όρμου Κορθίου 12, 88371 Αλεξανδρούπολη
Όρους 281, 99679 Τρίπολη
Ύδρας 9, 147 11 Λάρισα
Αβγού 29, ΤΚ 753 94 Γρεβενά
Αβδού 041-040, 95595 Λιβαδιά
Αβραμπέκη 54, 42149 Καστοριά
Αγία Βαρβάρα 6, ΤΚ 862 95 Σάμος
Αγίας Άννης 813, 074 44 Καρπενήσι
Αγίας Βαρβάρας 80, 70601 Πύργος
Αγίας Ειρήνης 19, 32285 Μεσολόγγι
Αγίου Αδριανού 6, ΤΚ 41646 Έδεσσα
Αγίου Βασιλείου Μαντινείας 4, ΤΚ 450 17 Μυτιλήνη
Αγίου Βασιλείου Μαντινείας 84, 989 98 Πάτρα
Αγίου Γεωργίου Σητείας 19-66, 99661 Καστοριά
Αγίου Γεωργίου Φαρσάλων 588, ΤΚ 64071 Καβάλα
Αγίου Δημητρίου Πηλίου 9, 168 97 Έδεσσα
Αγίου Θεοδώρου 483-999, ΤΚ 93904 Κομοτηνή
Αγίου Ιωάννη 0, 24809 Ρέθυμνο
Αγίου Ιωάννου Αγίου Βασιλείου 90, ΤΚ 686 67 Άμφισσα
Αγίου Ιωάννου Μυλοποτάμου 145-326, 617 82 Ηράκλειο
Αγίου Κηρύκου 03, 48733 Τρίπολη
Αγίου Κωνσταντίνου 5, ΤΚ 805 42 Κοζάνη
Αγίου Νικολάου Μονεμβασίας 38, ΤΚ 100 10 Ηγουμενίτσα
Αγίου Παύλου 39, 32786 Χανιά
Αγίου Στεφάνου 9, ΤΚ 506 80 Τρίκαλα
Αγίου Σύλλα 67, 91602 Χίος
Αγίου Σύλλα 9, 82645 Έδεσσα
Αγίων Δέκα 9, 31545 Λιβαδιά
Αγίων Θεοδώρων 224-401, 56078 Φλώρινα
Αγίων Παρασκιών 10, 339 46 Τρίπολη
Αγαθονησίου 61, ΤΚ 598 04 Κέρκυρα
