AB53 5DX
AB7 8UZ
AB8 7XA
AL17 1JD
AL18 0EP
AL2 2YU
AL2X 2QT
AL3 4DF
AL5A 0FN
AL6 2ZF
AL7 6XG
B0 3FT
B0 3FU
B0 6AD
B0 6QY
B0 7RB
B00 9TH
B02 0SF
B06 8UH
B08 2XQ
B08 6TP
B09 7GU
B0H 4NJ
B0J 1SX
B0K 7EL
B0U 7SX
B0W 6PZ
B1 0LU
B1 1GN
B1 5YR
B1 7JQ
B1 7NN
B1 9LW
B10 4BU
B11 0QD
B12 9QH
B13 2NZ
B14 7BB
B16 2RT
B19 3YX
B19 4LS
B19 8JF
B19 8NS
B1S 1WR
B1S 9HW
B2 9XT
B27 0AH
B27 6WL
B27 9WA
B2F 5LE
B2F 8WL
B3 5WP
B3 6TF
B3 7LD
B31 4TS
B31 8JY
B35 2GF
B35 4BE
B3J 3NH
B3T 2JX
B3U 3XZ
B4 0JA
B4 5DG
B4 6TY
B45 2LS
B49 8TL
B4B 4ZJ
B4U 2BU
B5 0UG
B5 1TH
B5 3NP
B5 4QD
B5 5JH
B5 8EN
B5 8UX
B50 5AE
B50 8SQ
B53 9NJ
B55 3SH
B57 3UJ
B5C 7JR
B5D 6BP
B5D 7AU
B5K 5SQ
B6 2YP
B6 5FY
B6 6LQ
B6 7ES
B60 2ZL
B61 8ZH
B68 4XP
B68 4YR
B6B 8UX
B6C 4PN
B6F 6HG
B6G 0DB
B6G 5FE
B6G 7TQ
B6J 4YY
B6J 9WU
B7 0RS
B7 2XA
B7 2YL
B7 3QD
B7 3UX
B7 3ZU
B7 4RY
B7 7ZJ
B7 8DH
B75 8NS
B75 8PY
B76 8TG
B7D 0HX
B7D 6UJ
B7F 7SG
B8 0DX
B8 1PT
B8 2FW
B8 2FX
B8 2GL
B8 3TL
B8 3XA
B8 6PR
B8 9YP
B81 6XU
B82 4RA
B8C 5AA
B8F 6LG
B8J 4JD
B8T 4SB
B9 0WP
B9 2QE
B9 3AS
B9 3BS
B9 4HZ
B91 1HY
B94 3FE
B96 1ES
B98 8TE
B9B 4BF
B9F 1WB
B9J 3RT
B9T 1YP
B9U 3UD
BA18 5GZ
BA20 8UG
BA36 2JQ
BA3P 2EB
BA50 9XN
BA7 7XW
BA8A 9ZE
BA99 5AS
BA9E 3RF
BB01 0NE
BB0P 6FG
BB1 9BS
BB20 1XX
BB25 0YS
BB26 5PL
BB80 6US
BB9Y 2SU
BD44 8UX
BD4W 9DS
