300 არაგველის ქ. 01, ტყვარჩელი
8 მარტის ქ. 49, ცაგერი
აბაკელიას ქ. 26, ტყიბული
აბაკელიას ქ. 31, ვანი
აბაკელიას ქ. 41, ვანი
აბაკელიას ქ. 64, ბათუმი
აბანოს ქ. 11, ფოთი
აბანოს ქ. 34, ხობი
აბასთუმანის ქ. 48, სენაკი
აბასთუმანის ქ. 59, თბილისი
აბაშელის ქ. 55, ბაღდათი
აბაშის ქ. 28, ახალქალაქი
აბაშის ქ. 89, გორი
აბაშის ქ. 93, ვალე
აბაშიძე გრიგოლის ქ. 21, წალენჯიხა
აბაშიძე გრიგოლის ქ. 26, ონი
აბაშიძე გრიგოლის ქ. 42, გორი
აბაშიძე გრიგოლის ქ. 64, მარნეული
აბაშიძე გრიგოლის ქ. 69, მცხეთა
აბაშიძე დოდოს ქ. 91, თეთრიწყარო
აბაშიძე ირაკლის ქ. 39, ქობულეთი
აბაშიძე ირაკლის ქ. 64, ლანჩხუთი
აბაშიძე ჰეიდარის ქ. 31, ცხინვალი
აბაშიძის ქ. 15, დედოფლისწყარო
აბდუშელიშვილი მალხაზის ქ. 95, ფოთი
აბესაძე გიას ქ. 38, ვალე
აბესაძე გიას ქ. 70, კასპი
აბზიანიძის ქ. 56, სამტრედია
აბზიანიძის ქ. 64, ქობულეთი
აბო ტბილელის ქ. 33, სენაკი
აბო ტბილელის ქ. 80, რუსთავი
აბოვიანის ქ. 07, თერჯოლა
აგლაძე რაფიელის ქ. 46, ოჩამჩირე
აგლაძე რაფიელის ქ. 86, გუდაუთა
აგლაძე რაფიელის ქ. 92, ყვარელი
ადიგენის ქ. 12, მარტვილი
ადიგენის ქ. 82, წალკა
ადიგენის ქ. 89, ფოთი
ავთანდილის ქ. 16, ახალქალაქი
ავთანდილის ქ. 27, თბილისი
ავთანდილის ქ. 30, მარნეული
ავთანდილის ქ. 97, ქობულეთი
ავლაბრის ქ. 06, ოჩამჩირე
ავლაბრის ქ. 93, თელავი
ავლევის ქ. 09, ცხინვალი
ავლევის ქ. 59, თბილისი
ავლევის ქ. 64, ჭიათურა
ათონელის ქ. 49, ნინოწმინდა
ათონელის ქ. 75, ვანი
აკეთის ქ. 78, წალენჯიხა
აკოფიანის ქ. 60, დმანისი
აკოფიანის ქ. 97, ხონი
აკურის ქ. 50, ოზურგეთი
აკურის ქ. 75, ვალე
ალადაშვილის ქ. 34, ქარელი
ალადაშვილის ქ. 73, დმანისი
ალაზნის ქ. 49, ხობი
ალაზნის ქ. 58, გორი
ალგეთის ქ. 35, ბათუმი
ალგეთის ქ. 78, ზესტაფონი
ალექსიძე მერაბის ქ. 00, ბათუმი
ალექსიძე მერაბის ქ. 82, საჩხერე
ალვანის ქ. 05, დუშეთი
ალვანის ქ. 31, ყვარელი
ალვანის ქ. 72, დუშეთი
ალვანის ქ. 76, დედოფლისწყარო
ალმასიანის ქ. 05, ხონი
ალმასიანის ქ. 28, საგარეჯო
ალმასიანის ქ. 87, ტყიბული
ამაღლების ქ. 25, ცხინვალი
ამაღლების ქ. 35, ჭიათურა
ამაღლების ქ. 51, ხობი
ამაღლების ქ. 64, მარტვილი
ამაღლების ქ. 83, თერჯოლა
ამბროლაურის ქ. 20, კასპი
ამბროლაურის ქ. 23, ბოლნისი
ამირანაშვილი პეტრეს ქ. 80, ამბროლაური
ამირანაშვილი პეტრეს ქ. 91, ჭიათურა
ამირეჯიბის ქ. 34, თერჯოლა
ამირეჯიბის ქ. 69, ახალციხე
ანაკლიის ქ. 00, თელავი
ანანურის ქ. 33, გუდაუთა
ანანურის ქ. 49, ხონი
ანანურის ქ. 74, მარტვილი
ანდრონიკაშვილის ქ. 11, მარნეული
ანტონ კატალიკოსის ქ. 03, საჩხერე
ანტონ კატალიკოსის ქ. 96, ჭიათურა
ანტონოვსკაიას ქ. 62, აბაშა
ანჯაფარიძე ვერიკოს ქ. 54, ტყვარჩელი
არაგვის ქ. 48, ტყვარჩელი
არაგვისპირელი შიოს ქ. 32, გაგრა
არაგვისპირელი შიოს ქ. 34, ახალციხე
არაგვისპირელი შიოს ქ. 58, ფოთი
არარატის ქ. 02, სიღნაღი
არარატის ქ. 03, ყვარელი
არარატის ქ. 93, მარნეული
არაყიშვილი დიმიტრის ქ. 04, ოჩამჩირე
არაყიშვილი დიმიტრის ქ. 53, გუდაუთა
არაყიშვილი დიმიტრის ქ. 54, ტყვარჩელი
არბოს ქ. 04, თელავი
არბოს ქ. 85, კასპი
არბოშიკის ქ. 51, ზესტაფონი
არგვეთის ქ. 32, ლაგოდეხი
არგვეთის ქ. 61, ტყვარჩელი
არდაზიანის ქ. 17, მცხეთა
არდაზიანის ქ. 34, ჯვარი
არდაზიანის ქ. 72, დმანისი
არდონის ქ. 12, თერჯოლა
არდონის ქ. 59, ამბროლაური
არდონის ქ. 92, სოხუმი
არდონის ქ. 95, ზესტაფონი
ართვინის ქ. 21, თეთრიწყარო
ართვინის ქ. 33, ბოლნისი
ართვინის ქ. 38, ყვარელი
არმაზის ქ. 78, დმანისი
არმაზის ქ. 79, წყალტუბო
არსენალის ქ. 02, ზუგდიდი
არსენალის ქ. 14, ოჩამჩირე
არსენალის ქ. 20, ახალქალაქი
