Alameda 25 de Abril, 43
Alameda Almeida, 11
Alameda Almeida, 48
Alameda Alves, 61
Alameda Amorim, S/N
Alameda Amélia Rodrigues, 1
Alameda André Castro, 652
Alameda Anita Antunes, S/N
Alameda Anjos, 28
Alameda Antunes, S/N
Alameda Araújo, 21
Alameda Araújo, 95
Alameda Ariana Guerreiro, 35
Alameda Artur Agostinho, 33
Alameda Artur Cupertino de Miranda, 1
Alameda Baptista, 81
Alameda Barbosa, S/N
Alameda Barros, 57
Alameda Batista, 210
Alameda Benjamim Martins, 8
Alameda Bento Martins, 8
Alameda Bianca Brito, 936
Alameda Borges, 795
Alameda Brian Leite, 98
Alameda Bárbara Neves, 29
Alameda Camila Moura, 479
Alameda Campos, 32
Alameda Campos, 531
Alameda Carolina Michaelis de Vasconcelos, 4
Alameda Carvalho, 44
Alameda Castro, 86
Alameda Castro, 90
Alameda Costa, 629
Alameda Cruz, S/N
Alameda David Rocha, 59
Alameda Diana Pinho, 5
Alameda Duarte Abreu, 9
Alameda Edgar Magalhães, 4
Alameda Ernesto Veiga de Oliveira, 8
Alameda Eva Barros, S/N
Alameda Ferreira de Mira, 25
Alameda Ferreira, 82
Alameda Figueiredo, 24
Alameda Figueiredo, 41
Alameda Figueiredo, 71
Alameda Figueiredo, 93
Alameda Francisca Machado, 35
Alameda Francisco Araújo, 25
Alameda Francisco Vicente, 526
Alameda Frederico Garcia, 59
Alameda Frederico Simões, 8
Alameda Futebol Clube do Porto, 38
Alameda Gabriel Azevedo, S/N
Alameda Gabriel Faria, 31
Alameda Garcia, 51
Alameda Garcia, 71
Alameda Gaspar, 17
Alameda Gaspar, S/N
Alameda General Afonso Botelho, 36
Alameda Gil Domingues, 801
Alameda Gil Garcia, 91
Alameda Gonçalves, 9
Alameda Grande, 523
Alameda Guilherme Assunção, 784
Alameda Gustavo Cunha, 53
Alameda Herculano, S/N
Alameda Inês Amaral, 6
Alameda Irmã Lúcia, 38
Alameda Ivo Carvalho, 19
Alameda Ivo Costa, 110
Alameda Ivo Macedo, 32
Alameda Joana Lima, 42
Alameda José Domingues dos Santos, 25
Alameda Kelly Barbosa, 492
Alameda Kelly Rodrigues, 5
Alameda Kyara Alves, 49
Alameda Laura Cardoso, S/N
Alameda Leandro Torres, 22
Alameda Leite, 34
Alameda Leite, 837
Alameda Lia Maia, 9
Alameda Lima, 57
Alameda Lima, 850
Alameda Lopes, 94
Alameda Loureiro, 2
Alameda Loureiro, 42
Alameda Loureiro, S/N
Alameda Luana Costa, 676
Alameda Lúcia Pinto, S/N
Alameda Mafalda Pinto, 67
Alameda Magalhães, 97
Alameda Mariana Anjos, 54
Alameda Marques, 44
Alameda Martins, 9
Alameda Martins, S/N
Alameda Matos, S/N
Alameda Micael Abreu, 69
Alameda Micael Pinto, 9
Alameda Morais, 93
Alameda Márcio Gomes, 522
Alameda Mário Leal, 55
Alameda Nacional 108, 45
Alameda Nascimento, 211
Alameda Nascimento, 73
Alameda Neto, S/N
Alameda Noah Vicente, 98
Alameda Nunes, 45
Alameda Pacheco, 65
Alameda Paiva, 82
Alameda Patrícia Fernandes, 37
Alameda Pereira, 8
Alameda Pires, 45
Alameda Pires, 98
Alameda Pires, S/N
Alameda Reis, S/N
Alameda Ribeirinhos, 472
Alameda Rodrigo Lopes, S/N
Alameda Rodrigues, S/N
Alameda Rúben Gomes, 6
Alameda Rúben Miranda, 39
Alameda Santos, 23
Alameda Santos, 79
Alameda Severo Portela, 38
Alameda Simão Lourenço, 98
Alameda Soares, 67
Alameda Soares, S/N
Alameda Sousa, 94
Alameda Sá, 22
Alameda Sá, 9
Alameda Sá, S/N
Alameda Tatiana Monteiro, 7
Alameda Teixeira, 27
Alameda Vasco Lopes, 3
Alameda Vaz, 51
Alameda Vicente, 40
Alameda Vicente, S/N
Alameda Victória Cruz, S/N
Alameda da Companhia, 98
Alameda da Galega, 13
Alameda da Música, 56
Alameda da Rainha, 393
Alameda da Senhora da Lapa, 6
Alameda das Cegonhas, 462
Alameda das Fontainhas, 89
Alameda das Galeotas ao Parque das Nações, 721
Alameda das Musas, 9
Alameda das Necessidades, 584
Alameda das Rolas, 9
Alameda de Abreu, 1
Alameda de Abreu, 16
Alameda de Almeida, S/N
Alameda de Alves, 77
Alameda de Alves, 94
Alameda de Andrade, 45
Alameda de Anjos, 57
Alameda de Assunção, 54
Alameda de Azevedo, 3
Alameda de Azevedo, 785
Alameda de Barros, S/N
Alameda de Batista, 33
Alameda de Batista, 48
Alameda de Batista, 69
Alameda de Belém, 14
Alameda de Borges, 91
Alameda de Branco, 13
Alameda de Brito, 459
Alameda de Carvalho, 5
Alameda de Carvalho, 65
Alameda de Carvalho, S/N
Alameda de Cima, 3
Alameda de Cláudio Carneiro, 16
Alameda de Costa, 3
Alameda de Costa, 66
Alameda de D. Afonso Henriques, 7
Alameda de Dom Fradique, 2
Alameda de Dom Fradique, 97
Alameda de Domingues, 20
Alameda de Domingues, 67
Alameda de Ferreira, 40
Alameda de Ferreira, 438
Alameda de Ferreira, 952
Alameda de Fonseca, 51
Alameda de Fonseca, 53
Alameda de Fonseca, S/N
Alameda de Freitas, S/N
Alameda de Godim, 51
Alameda de Gondomar, 67
Alameda de Gonçalo Cristóvão, S/N
Alameda de Guerreiro, 17
Alameda de Henriques, 4
Alameda de Leal, 48
Alameda de Leite, 35
Alameda de Leite, S/N
Alameda de Lima, S/N
Alameda de Lopes, 15
Alameda de Lopes, 89
Alameda de Loureiro, 70
